Department,text,Subtype
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Fishing Ban Relief issue,Fishing Ban Relief
Human Resources Management Department (PAR),Complaint regarding Service Register Entry Missing,Service Register Entry Missing
Public Works Department (PWD),Complaint against PWD for irrigation canal cleaning.,Irrigation Canal Cleaning
Adi Dravidar and Tribal Welfare Department (ADW),Complaint regarding Atrocities on SC/ST,Atrocities on SC/ST
Special Programme Implementation (SPI),Announcement Implementation issue,Announcement Implementation
Planning Development Department (PLGDEV),Problem faced: state scheme implementation.,State Scheme Implementation
BC MBC and Minorities Welfare Department (BCMBC),"Issue with free tools scheme, please resolve.",Free Tools Scheme
BC MBC and Minorities Welfare Department (BCMBC),Narikkuravar Welfare Board issue,Narikkuravar Welfare Board
Micro Small and Medium Enterprises Department (MSME),"Issue with msme subsidy delay, please resolve.",MSME Subsidy Delay
Commercial Taxes and Registration Department (CTREG),Complaint regarding GST Return Issue,GST Return Issue
Public Department (PUBLIC),Problem faced: ex-servicemen welfare.,Ex-Servicemen Welfare
Public Department (PUBLIC),Law and Order General,Law and Order General
Social Welfare and Women Empowerment Department (SWNM),Widow Pension issue,Widow Pension
Public Department (PUBLIC),Complaint regarding Chief Minister's Special Cell,Chief Minister's Special Cell
Adi Dravidar and Tribal Welfare Department (ADW),Complaint regarding Scholarship Issue - ADW,Scholarship Issue - ADW
Municipal Administration and Water Supply Department (MAWS),Property Tax Issue,Property Tax Issue
Rural Development and Panchayat Raj Department (RDPR),I have a complaint regarding village road damaged.,Village Road Damaged
Home Prohibition and Excise Department (HOMEEXC),We are suffering due to illicit liquor sale.,Illicit Liquor Sale
Health and Family Welfare Department (HEALTH),My grievance is about doctor absent in gh.,Doctor Absent in GH
Law Department (LAW),Government Pleader Issue,Government Pleader Issue
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint against AHFISH for fishing ban relief.,Fishing Ban Relief
Water Resources Department (WRD),Requesting help with check dam construction.,Check Dam Construction
Higher Education Department (HIGHEDU),I have a complaint regarding college admission issue.,College Admission Issue
Adi Dravidar and Tribal Welfare Department (ADW),We are suffering due to community certificate delay.,Community Certificate Delay
Energy Department (ENERGY),No electricity / Power cut,Frequent Power Cuts
Welfare of Differently Abled Persons (DIFFABLE),I have a complaint regarding disability id card.,Disability ID Card
Legislative Assembly Department (LEGIS),My grievance is about mla constituency fund.,MLA Constituency Fund
BC MBC and Minorities Welfare Department (BCMBC),I have a complaint regarding hostel food quality.,Hostel Food Quality
Micro Small and Medium Enterprises Department (MSME),My grievance is about msme subsidy delay.,MSME Subsidy Delay
Home Prohibition and Excise Department (HOMEEXC),Requesting help with police inaction.,Police Inaction
Public Department (PUBLIC),Requesting help with protocol violation.,Protocol Violation
Special Programme Implementation (SPI),Problem faced: announcement implementation.,Announcement Implementation
Municipal Administration and Water Supply Department (MAWS),Urgent action needed on drainage blockage.,Drainage Blockage
Energy Department (ENERGY),I have a complaint regarding transformer sparking/fire.,Transformer Sparking/Fire
Industries Department (IND),Complaint against IND for sipcot land allotment.,SIPCOT Land Allotment
Legislative Assembly Department (LEGIS),MLA Constituency Fund issue,MLA Constituency Fund
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Report on cattle feed shortage.,Cattle Feed Shortage
Highways and Minor Ports Department (HWY),Road Signage Missing issue,Road Signage Missing
Municipal Administration and Water Supply Department (MAWS),Requesting help with road damage.,Road Damage
Special Programme Implementation (SPI),My grievance is about flagship project delay.,Flagship Project Delay
Welfare of Differently Abled Persons (DIFFABLE),I have a complaint regarding maintenance allowance.,Maintenance Allowance
Labour Welfare and Skill Development Department (LBREMP),Unfair Dismissal issue,Unfair Dismissal
Revenue and Disaster Management Department (REV),"Issue with land survey request, please resolve.",Land Survey Request
Legislative Assembly Department (LEGIS),Assembly Proceedings Query,Assembly Proceedings Query
Co-operation Food and Consumer Protection Department (FOODCO),Requesting help with ration shop closed.,Ration Shop Closed
Environment Climate Change and Forests Department (ENVFOR),Illegal Tree Cutting,Illegal Tree Cutting
Public Elections Department (ELECTION),Report on candidate malpractice.,Candidate Malpractice
Energy Department (ENERGY),We are suffering due to transformer sparking/fire.,Transformer Sparking/Fire
Human Resources Management Department (PAR),Please look into this disciplinary action appeal matter.,Disciplinary Action Appeal
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint regarding Fishing Ban Relief,Fishing Ban Relief
Energy Department (ENERGY),Complaint regarding Meter Fault / Replacement,Meter Fault / Replacement
Commercial Taxes and Registration Department (CTREG),We are suffering due to gst return issue.,GST Return Issue
Higher Education Department (HIGHEDU),Please look into this professor vacancy matter.,Professor Vacancy
Social Welfare and Women Empowerment Department (SWNM),Marriage Assistance Scheme issue,Marriage Assistance Scheme
Law Department (LAW),Court Case Pending issue,Court Case Pending
Adi Dravidar and Tribal Welfare Department (ADW),Complaint against ADW for free house site patta - adw.,Free House Site Patta - ADW
Agriculture and Farmers welfares Department (AGRI),Complaint regarding Crop Insurance Claim,Crop Insurance Claim
Finance Department (FIN),We are suffering due to retired employee benefits.,Retired Employee Benefits
Micro Small and Medium Enterprises Department (MSME),I have a complaint regarding mudra loan rejection.,MUDRA Loan Rejection
Human Resources Management Department (PAR),We are suffering due to govt job recruitment scam.,Govt Job Recruitment Scam
Commercial Taxes and Registration Department (CTREG),I have a complaint regarding guide value query.,Guide Value Query
Public Elections Department (ELECTION),Report on name missing in voter list.,Name Missing in Voter List
Municipal Administration and Water Supply Department (MAWS),I have a complaint regarding road damage.,Road Damage
Tamil Dev. and Information Department (TAMINF),Memorial Maintenance,Memorial Maintenance
Rural Development and Panchayat Raj Department (RDPR),Village road has huge holes,Village Road Damaged
Highways and Minor Ports Department (HWY),Road Widening Encroachment issue,Road Widening Encroachment
Higher Education Department (HIGHEDU),Requesting help with college admission issue.,College Admission Issue
Municipal Administration and Water Supply Department (MAWS),Urgent action needed on pothole patchwork.,Pothole Patchwork
Micro Small and Medium Enterprises Department (MSME),Report on udyam registration error.,Udyam Registration Error
Municipal Administration and Water Supply Department (MAWS),Complaint against MAWS for street light not working.,Street Light Not Working
Rural Development and Panchayat Raj Department (RDPR),Problem faced: gram sabha meeting.,Gram Sabha Meeting
Labour Welfare and Skill Development Department (LBREMP),Please look into this pf claim settlement matter.,PF Claim Settlement
Public Elections Department (ELECTION),Urgent action needed on name missing in voter list.,Name Missing in Voter List
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint against AHFISH for milk procurement price.,Milk Procurement Price
Social Welfare and Women Empowerment Department (SWNM),"Issue with child marriage reporting, please resolve.",Child Marriage Reporting
Labour Welfare and Skill Development Department (LBREMP),Urgent action needed on pf claim settlement.,PF Claim Settlement
Finance Department (FIN),Report on pension disbursement delay.,Pension Disbursement Delay
Rural Development and Panchayat Raj Department (RDPR),My grievance is about nrega wages pending.,NREGA Wages Pending
Water Resources Department (WRD),"Issue with groundwater depletion, please resolve.",Groundwater Depletion
Energy Department (ENERGY),Please look into this transformer sparking/fire matter.,Transformer Sparking/Fire
BC MBC and Minorities Welfare Department (BCMBC),My grievance is about ulema pension scheme.,Ulema Pension Scheme
Legislative Assembly Department (LEGIS),Problem faced: assembly proceedings query.,Assembly Proceedings Query
Law Department (LAW),We are suffering due to law college admission.,Law College Admission
Agriculture and Farmers welfares Department (AGRI),I have a complaint regarding farm machinery subsidy.,Farm Machinery Subsidy
Energy Department (ENERGY),Requesting help with high electricity bill.,High Electricity Bill
Housing and Urban Development Department (HUD),"Issue with slum clearance board tenement, please resolve.",Slum Clearance Board Tenement
Social Welfare and Women Empowerment Department (SWNM),"Issue with widow pension, please resolve.",Widow Pension
Industries Department (IND),I have a complaint regarding factory closure notice.,Factory Closure Notice
Environment Climate Change and Forests Department (ENVFOR),"Issue with illegal tree cutting, please resolve.",Illegal Tree Cutting
Transport Department (TRANS),Complaint against TRANS for bus not stopping.,Bus Not Stopping
Municipal Administration and Water Supply Department (MAWS),My grievance is about street light not working.,Street Light Not Working
Rural Development and Panchayat Raj Department (RDPR),"Issue with village road damaged, please resolve.",Village Road Damaged
Higher Education Department (HIGHEDU),I have a complaint regarding college infrastructure.,College Infrastructure
Labour Welfare and Skill Development Department (LBREMP),PF Claim Settlement,PF Claim Settlement
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Urgent action needed on co-optex sales payment.,Co-optex Sales Payment
Environment Climate Change and Forests Department (ENVFOR),"Issue with wild animal intrusion, please resolve.",Wild Animal Intrusion
School Education Department (SCHOOL),Complaint regarding RTE Seat Allotment,RTE Seat Allotment
Municipal Administration and Water Supply Department (MAWS),Street Light Not Working,Street Light Not Working
Health and Family Welfare Department (HEALTH),Please look into this sanitation in hospital matter.,Sanitation in Hospital
Special Programme Implementation (SPI),Scheme Monitoring,Scheme Monitoring
Planning Development Department (PLGDEV),Complaint regarding Statistics Data Request,Statistics Data Request
Social Welfare and Women Empowerment Department (SWNM),We are suffering due to child marriage reporting.,Child Marriage Reporting
Energy Department (ENERGY),I have a complaint regarding frequent power cuts.,Frequent Power Cuts
Youth Welfare and Sports Development Department (YOUTHSP),We are suffering due to playground maintenance.,Playground Maintenance
Water Resources Department (WRD),Complaint regarding Canal Encroachment,Canal Encroachment
Planning Development Department (PLGDEV),"Issue with sdg goals monitoring, please resolve.",SDG Goals Monitoring
Youth Welfare and Sports Development Department (YOUTHSP),Problem faced: playground maintenance.,Playground Maintenance
Municipal Administration and Water Supply Department (MAWS),Garbage Not Collected issue,Garbage Not Collected
Public Elections Department (ELECTION),Complaint against ELECTION for polling booth complaint.,Polling Booth Complaint
Municipal Administration and Water Supply Department (MAWS),Report on street light not working.,Street Light Not Working
Higher Education Department (HIGHEDU),Please look into this college admission issue matter.,College Admission Issue
Tourism Culture and Religious Endowments Department (TOURCUL),Report on heritage site protection.,Heritage Site Protection
Information Technology Department (IT),Please look into this government email issue matter.,Government Email Issue
BC MBC and Minorities Welfare Department (BCMBC),Urgent action needed on free tools scheme.,Free Tools Scheme
Public Works Department (PWD),Govt Building Maintenance,Govt Building Maintenance
Information Technology Department (IT),Urgent action needed on it park facilities.,IT Park Facilities
Home Prohibition and Excise Department (HOMEEXC),Complaint regarding Police Inaction,Police Inaction
Finance Department (FIN),I have a complaint regarding retired employee benefits.,Retired Employee Benefits
School Education Department (SCHOOL),Teacher Absenteeism,Teacher Absenteeism
Public Elections Department (ELECTION),Please look into this name missing in voter list matter.,Name Missing in Voter List
Handlooms Handicrafts Textiles and Khadi Department (HHTK),I have a complaint regarding yarn subsidy not received.,Yarn Subsidy Not Received
Higher Education Department (HIGHEDU),Requesting help with university exam results.,University Exam Results
Public Works Department (PWD),Problem faced: dam water release.,Dam Water Release
Transport Department (TRANS),Requesting help with conductor rude behavior.,Conductor Rude Behavior
Highways and Minor Ports Department (HWY),Complaint regarding Road Widening Encroachment,Road Widening Encroachment
Public Works Department (PWD),Problem faced: pwd guest house booking.,PWD Guest House Booking
Information Technology Department (IT),Report on server down / website crash.,Server Down / Website Crash
Rural Development and Panchayat Raj Department (RDPR),Report on gram sabha meeting.,Gram Sabha Meeting
Information Technology Department (IT),"Issue with broadband connectivity infrastructure, please resolve.",Broadband Connectivity Infrastructure
Tourism Culture and Religious Endowments Department (TOURCUL),Heritage Site Protection issue,Heritage Site Protection
Industries Department (IND),Complaint regarding Single Window Clearance,Single Window Clearance
Special Programme Implementation (SPI),"Issue with scheme monitoring, please resolve.",Scheme Monitoring
Social Welfare and Women Empowerment Department (SWNM),Report on working women hostel.,Working Women Hostel
Housing and Urban Development Department (HUD),I have a complaint regarding unapproved layout plot.,Unapproved Layout Plot
BC MBC and Minorities Welfare Department (BCMBC),"Issue with narikkuravar welfare board, please resolve.",Narikkuravar Welfare Board
Health and Family Welfare Department (HEALTH),Report on medicine shortage.,Medicine Shortage
Adi Dravidar and Tribal Welfare Department (ADW),"Issue with scholarship issue - adw, please resolve.",Scholarship Issue - ADW
Housing and Urban Development Department (HUD),Complaint against HUD for rental dispute.,Rental Dispute
Rural Development and Panchayat Raj Department (RDPR),"Issue with panchayat tax issue, please resolve.",Panchayat Tax Issue
Transport Department (TRANS),Bus never comes on time,Bus Not Stopping
Home Prohibition and Excise Department (HOMEEXC),Prison Inmate Welfare issue,Prison Inmate Welfare
Tourism Culture and Religious Endowments Department (TOURCUL),Complaint regarding Heritage Site Protection,Heritage Site Protection
Transport Department (TRANS),I have a complaint regarding bus pass issue.,Bus Pass Issue
Adi Dravidar and Tribal Welfare Department (ADW),Requesting help with free house site patta - adw.,Free House Site Patta - ADW
Public Elections Department (ELECTION),Report on electoral roll correction.,Electoral Roll Correction
Tamil Dev. and Information Department (TAMINF),Urgent action needed on government exhibition.,Government Exhibition
Special Programme Implementation (SPI),My grievance is about announcement implementation.,Announcement Implementation
Youth Welfare and Sports Development Department (YOUTHSP),Please look into this stadium booking matter.,Stadium Booking
Municipal Administration and Water Supply Department (MAWS),We are suffering due to pothole patchwork.,Pothole Patchwork
Housing and Urban Development Department (HUD),Requesting help with tnhb allotment issue.,TNHB Allotment Issue
Public Department (PUBLIC),Requesting help with law and order general.,Law and Order General
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Please look into this fishing ban relief matter.,Fishing Ban Relief
Law Department (LAW),My grievance is about law college admission.,Law College Admission
Micro Small and Medium Enterprises Department (MSME),I have a complaint regarding msme subsidy delay.,MSME Subsidy Delay
Planning Development Department (PLGDEV),Complaint regarding District Development Plan,District Development Plan
Special Programme Implementation (SPI),Report on announcement implementation.,Announcement Implementation
Labour Welfare and Skill Development Department (LBREMP),Please look into this construction workers board matter.,Construction Workers Board
Human Resources Management Department (PAR),Transfer/Posting Request,Transfer/Posting Request
Public Elections Department (ELECTION),Complaint regarding Polling Booth Complaint,Polling Booth Complaint
Energy Department (ENERGY),Problem faced: new connection delay.,New Connection Delay
Rural Development and Panchayat Raj Department (RDPR),My grievance is about gram sabha meeting.,Gram Sabha Meeting
Municipal Administration and Water Supply Department (MAWS),I have a complaint regarding garbage not collected.,Garbage Not Collected
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Report on veterinary doctor unavailable.,Veterinary Doctor Unavailable
Finance Department (FIN),Retired Employee Benefits,Retired Employee Benefits
Health and Family Welfare Department (HEALTH),Report on doctor absent in gh.,Doctor Absent in GH
Legislative Assembly Department (LEGIS),Petition to Assembly Committee issue,Petition to Assembly Committee
Highways and Minor Ports Department (HWY),"Issue with state highway potholes, please resolve.",State Highway Potholes
Rural Development and Panchayat Raj Department (RDPR),Complaint against RDPR for panchayat tax issue.,Panchayat Tax Issue
Adi Dravidar and Tribal Welfare Department (ADW),Requesting help with community certificate delay.,Community Certificate Delay
Micro Small and Medium Enterprises Department (MSME),We are suffering due to udyam registration error.,Udyam Registration Error
Youth Welfare and Sports Development Department (YOUTHSP),Playground Maintenance,Playground Maintenance
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),I have a complaint regarding milk procurement price.,Milk Procurement Price
Industries Department (IND),Complaint regarding Industrial Safety Violation,Industrial Safety Violation
Health and Family Welfare Department (HEALTH),Urgent action needed on doctor absent in gh.,Doctor Absent in GH
Information Technology Department (IT),I have a complaint regarding government email issue.,Government Email Issue
Public Department (PUBLIC),Protocol Violation issue,Protocol Violation
Labour Welfare and Skill Development Department (LBREMP),We are suffering due to pf claim settlement.,PF Claim Settlement
Micro Small and Medium Enterprises Department (MSME),Complaint against MSME for msme subsidy delay.,MSME Subsidy Delay
Tamil Dev. and Information Department (TAMINF),We are suffering due to government exhibition.,Government Exhibition
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),We are suffering due to fishing ban relief.,Fishing Ban Relief
Industries Department (IND),Factory Closure Notice issue,Factory Closure Notice
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Fishing Ban Relief,Fishing Ban Relief
Energy Department (ENERGY),Complaint against ENERGY for frequent power cuts.,Frequent Power Cuts
Human Resources Management Department (PAR),Complaint against PAR for compassionate appointment delay.,Compassionate Appointment Delay
Adi Dravidar and Tribal Welfare Department (ADW),I have a complaint regarding community certificate delay.,Community Certificate Delay
School Education Department (SCHOOL),I have a complaint regarding school building dilapidated.,School Building Dilapidated
Highways and Minor Ports Department (HWY),Report on road signage missing.,Road Signage Missing
Micro Small and Medium Enterprises Department (MSME),Please look into this industrial shed allotment matter.,Industrial Shed Allotment
Higher Education Department (HIGHEDU),Report on university exam results.,University Exam Results
Planning Development Department (PLGDEV),Problem faced: statistics data request.,Statistics Data Request
Tamil Dev. and Information Department (TAMINF),Requesting help with memorial maintenance.,Memorial Maintenance
Information Technology Department (IT),Complaint against IT for government email issue.,Government Email Issue
Finance Department (FIN),We are suffering due to gpf/cps settlement.,GPF/CPS Settlement
Finance Department (FIN),Complaint regarding Government Employee Salary Issue,Government Employee Salary Issue
Municipal Administration and Water Supply Department (MAWS),Please look into this drainage blockage matter.,Drainage Blockage
Finance Department (FIN),Complaint regarding Pension Disbursement Delay,Pension Disbursement Delay
Environment Climate Change and Forests Department (ENVFOR),Complaint regarding Illegal Tree Cutting,Illegal Tree Cutting
Water Resources Department (WRD),Report on river sand mining.,River Sand Mining
Housing and Urban Development Department (HUD),Complaint regarding DTCP Approval Delay,DTCP Approval Delay
Health and Family Welfare Department (HEALTH),"Issue with medicine shortage, please resolve.",Medicine Shortage
BC MBC and Minorities Welfare Department (BCMBC),Urgent action needed on ulema pension scheme.,Ulema Pension Scheme
Environment Climate Change and Forests Department (ENVFOR),"Issue with industrial pollution, please resolve.",Industrial Pollution
Public Department (PUBLIC),"Issue with freedom fighter pension, please resolve.",Freedom Fighter Pension
Legislative Assembly Department (LEGIS),Complaint regarding MLA Constituency Fund,MLA Constituency Fund
Energy Department (ENERGY),Complaint regarding Transformer Sparking/Fire,Transformer Sparking/Fire
Tourism Culture and Religious Endowments Department (TOURCUL),We are suffering due to annadhanam quality.,Annadhanam Quality
Municipal Administration and Water Supply Department (MAWS),Drainage Blockage issue,Drainage Blockage
Tamil Dev. and Information Department (TAMINF),Please look into this press/media accreditation matter.,Press/Media Accreditation
Co-operation Food and Consumer Protection Department (FOODCO),Requesting help with consumer court complaint.,Consumer Court Complaint
Rural Development and Panchayat Raj Department (RDPR),Complaint against RDPR for village water tank cleaning.,Village Water Tank Cleaning
Welfare of Differently Abled Persons (DIFFABLE),My grievance is about maintenance allowance.,Maintenance Allowance
Highways and Minor Ports Department (HWY),My grievance is about state highway potholes.,State Highway Potholes
Commercial Taxes and Registration Department (CTREG),Problem faced: encumbrance certificate error.,Encumbrance Certificate Error
Higher Education Department (HIGHEDU),Please look into this college infrastructure matter.,College Infrastructure
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),Complaint regarding Cattle Feed Shortage,Cattle Feed Shortage
Transport Department (TRANS),"Issue with overcrowding in bus, please resolve.",Overcrowding in Bus
Transport Department (TRANS),"Issue with conductor rude behavior, please resolve.",Conductor Rude Behavior
Health and Family Welfare Department (HEALTH),Complaint against HEALTH for doctor absent in gh.,Doctor Absent in GH
Housing and Urban Development Department (HUD),We are suffering due to tnhb allotment issue.,TNHB Allotment Issue
School Education Department (SCHOOL),RTE Seat Allotment issue,RTE Seat Allotment
Public Works Department (PWD),My grievance is about irrigation canal cleaning.,Irrigation Canal Cleaning
Public Department (PUBLIC),I have a complaint regarding ex-servicemen welfare.,Ex-Servicemen Welfare
Agriculture and Farmers welfares Department (AGRI),Fertilizer Shortage issue,Fertilizer Shortage
Public Works Department (PWD),Please look into this govt building maintenance matter.,Govt Building Maintenance
Water Resources Department (WRD),Complaint against WRD for check dam construction.,Check Dam Construction
Agriculture and Farmers welfares Department (AGRI),Problem faced: seed quality issue.,Seed Quality Issue
Finance Department (FIN),Complaint against FIN for treasury bill pending.,Treasury Bill Pending
Home Prohibition and Excise Department (HOMEEXC),We are suffering due to cyber crime complaint.,Cyber Crime Complaint
Welfare of Differently Abled Persons (DIFFABLE),Problem faced: tricycle/scooter request.,Tricycle/Scooter Request
Highways and Minor Ports Department (HWY),Urgent action needed on road signage missing.,Road Signage Missing
Legislative Assembly Department (LEGIS),MLA Constituency Fund,MLA Constituency Fund
BC MBC and Minorities Welfare Department (BCMBC),Scholarship - BC/MBC,Scholarship - BC/MBC
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Report on co-optex sales payment.,Co-optex Sales Payment
Home Prohibition and Excise Department (HOMEEXC),Problem faced: police inaction.,Police Inaction
Industries Department (IND),Report on industrial safety violation.,Industrial Safety Violation
Agriculture and Farmers welfares Department (AGRI),Complaint against AGRI for pest attack support.,Pest Attack Support
Micro Small and Medium Enterprises Department (MSME),Requesting help with raw material cost.,Raw Material Cost
BC MBC and Minorities Welfare Department (BCMBC),Problem faced: ulema pension scheme.,Ulema Pension Scheme
Tourism Culture and Religious Endowments Department (TOURCUL),My grievance is about tourist spot facilities.,Tourist Spot Facilities
Highways and Minor Ports Department (HWY),Complaint regarding Bridge Construction Delay,Bridge Construction Delay
Energy Department (ENERGY),"Issue with high electricity bill, please resolve.",High Electricity Bill
Adi Dravidar and Tribal Welfare Department (ADW),Requesting help with scholarship issue - adw.,Scholarship Issue - ADW
Legislative Assembly Department (LEGIS),Urgent action needed on petition to assembly committee.,Petition to Assembly Committee
Co-operation Food and Consumer Protection Department (FOODCO),Problem faced: consumer court complaint.,Consumer Court Complaint
Highways and Minor Ports Department (HWY),"Issue with bridge construction delay, please resolve.",Bridge Construction Delay
Finance Department (FIN),"Issue with treasury bill pending, please resolve.",Treasury Bill Pending
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Yarn Subsidy Not Received,Yarn Subsidy Not Received
Industries Department (IND),"Issue with factory closure notice, please resolve.",Factory Closure Notice
Transport Department (TRANS),Overcrowding in Bus issue,Overcrowding in Bus
Rural Development and Panchayat Raj Department (RDPR),I have a complaint regarding village water tank cleaning.,Village Water Tank Cleaning
Highways and Minor Ports Department (HWY),"Issue with road signage missing, please resolve.",Road Signage Missing
Social Welfare and Women Empowerment Department (SWNM),Please look into this working women hostel matter.,Working Women Hostel
Highways and Minor Ports Department (HWY),I have a complaint regarding toll plaza excess fee.,Toll Plaza Excess Fee
Home Prohibition and Excise Department (HOMEEXC),I have a complaint regarding illicit liquor sale.,Illicit Liquor Sale
Micro Small and Medium Enterprises Department (MSME),Report on mudra loan rejection.,MUDRA Loan Rejection
Housing and Urban Development Department (HUD),Report on dtcp approval delay.,DTCP Approval Delay
School Education Department (SCHOOL),We are suffering due to school admission denied.,School Admission Denied
Agriculture and Farmers welfares Department (AGRI),Pest Attack Support issue,Pest Attack Support
Public Department (PUBLIC),Complaint against PUBLIC for protocol violation.,Protocol Violation
Public Elections Department (ELECTION),Report on voter id card not received.,Voter ID Card Not Received
Commercial Taxes and Registration Department (CTREG),"Issue with encumbrance certificate error, please resolve.",Encumbrance Certificate Error
Agriculture and Farmers welfares Department (AGRI),Complaint regarding Seed Quality Issue,Seed Quality Issue
BC MBC and Minorities Welfare Department (BCMBC),Complaint against BCMBC for free tools scheme.,Free Tools Scheme
Housing and Urban Development Department (HUD),Report on unapproved layout plot.,Unapproved Layout Plot
Information Technology Department (IT),Problem faced: e-sevai centre closed.,e-Sevai Centre Closed
Agriculture and Farmers welfares Department (AGRI),Urgent action needed on crop insurance claim.,Crop Insurance Claim
Micro Small and Medium Enterprises Department (MSME),My grievance is about industrial shed allotment.,Industrial Shed Allotment
Animal Husbandry and Dairying and Fisheries and Fishermen Welfare Department (AHFISH),I have a complaint regarding veterinary doctor unavailable.,Veterinary Doctor Unavailable
Transport Department (TRANS),Urgent action needed on bus not stopping.,Bus Not Stopping
Tourism Culture and Religious Endowments Department (TOURCUL),We are suffering due to hotel registration.,Hotel Registration
Municipal Administration and Water Supply Department (MAWS),Property Tax Issue issue,Property Tax Issue
Information Technology Department (IT),Requesting help with government email issue.,Government Email Issue
Co-operation Food and Consumer Protection Department (FOODCO),"Issue with ration shop closed, please resolve.",Ration Shop Closed
Energy Department (ENERGY),I have a complaint regarding new connection delay.,New Connection Delay
Energy Department (ENERGY),Urgent action needed on new connection delay.,New Connection Delay
Labour Welfare and Skill Development Department (LBREMP),Complaint against LBREMP for unfair dismissal.,Unfair Dismissal
Tourism Culture and Religious Endowments Department (TOURCUL),Temple Maintenance,Temple Maintenance
Commercial Taxes and Registration Department (CTREG),Complaint against CTREG for gst return issue.,GST Return Issue
Agriculture and Farmers welfares Department (AGRI),Requesting help with crop insurance claim.,Crop Insurance Claim
BC MBC and Minorities Welfare Department (BCMBC),Problem faced: narikkuravar welfare board.,Narikkuravar Welfare Board
Housing and Urban Development Department (HUD),"Issue with tnhb allotment issue, please resolve.",TNHB Allotment Issue
Energy Department (ENERGY),Please look into this frequent power cuts matter.,Frequent Power Cuts
Micro Small and Medium Enterprises Department (MSME),"Issue with industrial shed allotment, please resolve.",Industrial Shed Allotment
Environment Climate Change and Forests Department (ENVFOR),Wild Animal Intrusion,Wild Animal Intrusion
Transport Department (TRANS),Complaint regarding Bus Pass Issue,Bus Pass Issue
Transport Department (TRANS),Bus driver didn't stop at the bus stand,Bus Not Stopping
Energy Department (ENERGY),Requesting help with transformer sparking/fire.,Transformer Sparking/Fire
Planning Development Department (PLGDEV),Report on sdg goals monitoring.,SDG Goals Monitoring
Social Welfare and Women Empowerment Department (SWNM),I have a complaint regarding child marriage reporting.,Child Marriage Reporting
Revenue and Disaster Management Department (REV),My grievance is about land survey request.,Land Survey Request
Social Welfare and Women Empowerment Department (SWNM),Marriage Assistance Scheme,Marriage Assistance Scheme
Agriculture and Farmers welfares Department (AGRI),Complaint against AGRI for seed quality issue.,Seed Quality Issue
Handlooms Handicrafts Textiles and Khadi Department (HHTK),Requesting help with weaver id card issue.,Weaver ID Card Issue
Highways and Minor Ports Department (HWY),Urgent action needed on road widening encroachment.,Road Widening Encroachment
Adi Dravidar and Tribal Welfare Department (ADW),I have a complaint regarding scholarship issue - adw.,Scholarship Issue - ADW
Human Resources Management Department (PAR),Complaint regarding Govt Job Recruitment Scam,Govt Job Recruitment Scam
Higher Education Department (HIGHEDU),Requesting help with rusa fund utilization.,RUSA Fund Utilization
Higher Education Department (HIGHEDU),Report on college admission issue.,College Admission Issue
Tourism Culture and Religious Endowments Department (TOURCUL),Complaint against TOURCUL for hotel registration.,Hotel Registration
Commercial Taxes and Registration Department (CTREG),My grievance is about property registration delay.,Property Registration Delay
BC MBC and Minorities Welfare Department (BCMBC),Urgent action needed on hostel food quality.,Hostel Food Quality
Social Welfare and Women Empowerment Department (SWNM),I have a complaint regarding marriage assistance scheme.,Marriage Assistance Scheme
Human Resources Management Department (PAR),Compassionate Appointment Delay issue,Compassionate Appointment Delay
Human Resources Management Department (PAR),Disciplinary Action Appeal,Disciplinary Action Appeal
Information Technology Department (IT),Requesting help with server down / website crash.,Server Down / Website Crash
Public Department (PUBLIC),My grievance is about ex-servicemen welfare.,Ex-Servicemen Welfare
Co-operation Food and Consumer Protection Department (FOODCO),Please look into this consumer court complaint matter.,Consumer Court Complaint
Water Resources Department (WRD),Report on groundwater depletion.,Groundwater Depletion
Public Department (PUBLIC),Freedom Fighter Pension,Freedom Fighter Pension
Youth Welfare and Sports Development Department (YOUTHSP),Complaint against YOUTHSP for stadium booking.,Stadium Booking
Planning Development Department (PLGDEV),I have a complaint regarding district development plan.,District Development Plan
Industries Department (IND),Report on single window clearance.,Single Window Clearance
Welfare of Differently Abled Persons (DIFFABLE),Problem faced: disability id card.,Disability ID Card
Youth Welfare and Sports Development Department (YOUTHSP),Sports Kit Request issue,Sports Kit Request
Higher Education Department (HIGHEDU),My grievance is about university exam results.,University Exam Results
